sample_id	ADORA2A	BTLA	CD160	CD244	CD274	CD96	CSF1R	CTLA4	HAVCR2	IDO1	IL10	IL10RB	KDR	KIR2DL1	KIR2DL3	LAG3	LGALS9	PDCD1	PDCD1LG2	TGFB1	TGFBR1	TIGIT	VTCN1
pts1528	0.651683180632109	-0.249822294406943	0.444667066841908	2.21132375704161	2.40898352943074	2.27828217953273	2.47534433714261	1.28154989336664	4.91461235741715	5.62002916451785	0.566571640626761	5.71207297013477	-2.17788172527066	-9.96578428466209	-2.38835545662634	-0.0276749584428483	5.39646778286341	0.556797246592743	1.57094860517333	4.15550638879337	2.86016825286164	1.04334450487717	-0.0573916638883367
pts1508	1.96014098031077	-0.0276749584428483	-0.575615328461903	1.3790663992809	2.3648525400612	1.89569039046369	4.95377740262739	1.52155333054509	3.14420956118307	5.74499524889386	-0.45205668870965	5.34699233599603	3.97094566001896	-9.96578428466209	-1.35475948735473	2.58038671760526	6.95630064431008	0.566571640626761	1.51146803927587	4.85952236269049	3.66800562942296	2.07073278582443	4.80276190933778
pts1708	4.80276190933778	2.33370995434728	-1.55215635563791	0.949348164288563	4.79030287721513	2.92428995151822	4.74905150083135	3.86997008235441	5.82224576971788	5.41247669841037	4.0985374642271	5.81611326531369	-0.758769964484555	-9.96578428466209	-1.59509687785487	3.56815374340723	7.60400458561535	1.56608449051547	4.06617531893402	5.43499510920173	4.09769506373552	2.99837605443825	1.05032755355842
pts1352	1.32826202860941	-1.83135796444116	-3.62593428177746	-2.93236128312464	2.61140848102496	0.651683180632109	3.21583388373373	-0.338250400189295	2.27232185276999	0.723340120251171	-0.664288089679538	5.23039517541912	3.03051265202529	-9.96578428466209	-2.82623293226329	-0.783389931257558	3.69387719902599	-1.46992925777492	1.80776706176642	6.37800867314092	3.53990323581025	-0.166502663140165	-4.29335894269059
pts1066	1.88009774972197	0.401630466584741	-1.99424073071132	0.556797246592743	2.33942247434663	1.57094860517333	4.69103159072868	2.47534433714261	3.76564082298086	5.36530759921968	1.96753753607086	4.74421492647062	4.12854086864087	-9.96578428466209	-2.82623293226329	1.3956112485038	5.70655817952447	0.264236151043547	1.73161772284062	5.01974638647723	3.65775431882786	2.19880843205028	2.37323058358799
pts1017	1.88791513563813	0.379620962055708	-0.808437349299244	0.926758531986465	0.949348164288563	1.70973175942069	5.95654459495027	0.264236151043547	3.67140660940647	3.75178504602101	0.978927776381399	4.96583045016475	4.66794887844284	-3.17136841831198	-9.96578428466209	0.949348164288563	6.66691278072759	0.323081789503733	1.57094860517333	5.82530227418747	4.17959066700622	1.37350901551801	1.91494715047958
pts1358	0.986228880227399	-1.31832585820717	-3.17136841831198	-1.14880066140671	2.1013139010863	0.714575238851626	4.72088037476207	1.09153059312062	3.49326304228613	7.87283491436408	0.323081789503733	6.56622151811123	3.25414048420073	-9.96578428466209	-2.11403524324603	2.08099868569426	6.95292757719695	0.138814468902282	2.48052364638826	4.09769506373552	3.25262759077256	1.67852267688349	3.99918825571501
pts1510	1.84438565300257	-0.215914857265243	0.334568275666133	0.642470537315822	4.25859429865875	2.70730390824728	5.31400763744685	0.949348164288563	4.30092906550743	6.6955902250651	1.23327453899093	5.1043785980145	4.34205688428348	-9.96578428466209	-1.46992925777492	2.74437640712083	6.97339315586666	1.43349363984688	3.21893612133568	5.0734346635022	3.82079165850631	2.22681676504987	-1.39213709716876
pts1164	1.05727696507325	-2.93236128312464	-2.82623293226329	0.840765337323874	-0.199255376063222	-0.267079617891743	2.91284144514327	-1.51045706435753	1.94897455427977	0.669933835668961	-1.55215635563791	5.27950843973481	3.49582305545168	-9.96578428466209	-3.8160371651574	0.227741075839128	6.71480874577328	-2.46593839757888	-1.55215635563791	4.06099848768388	3.84809709023201	-0.619270551496451	2.84819726695259
pts1412	0.465713319595964	-2.46593839757888	-2.05289494843213	-1.05589120089205	3.93366705238631	0.276198865032242	3.51108846592374	-0.734563103950902	2.63946371690372	7.1961447190775	-1.18114943910457	4.69158999569032	2.66243339556135	-9.96578428466209	-2.2446850959549	2.21132375704161	5.55461954699026	0.919149363287674	1.59502618406585	5.85277292902581	2.66925358652116	0.669933835668961	-1.68501351453148
pts1145	2.92048386821087	2.31063095723059	-0.533242384273829	1.34539637539127	3.01095882207224	2.98932069555447	4.43902466065849	2.62316453565259	4.09347566718297	5.80738068423903	0.660837367696284	5.70489962322191	-0.554273296650016	-2.46593839757888	-2.11403524324603	3.8319785504885	7.63111155986488	2.38432615868584	1.86036693013812	5.54383610157165	2.66015281487638	3.69276194306377	0.926758531986465
pts1425	1.52656966049778	-1.31832585820717	-1.55215635563791	0.16478627814334	3.02165738827403	1.57579637532908	3.92419492170948	1.15769051358205	3.21738583638005	7.41448229300076	-0.575615328461903	5.03258577527193	2.60193417318867	-3.45798964446339	-2.2446850959549	1.43882511317562	5.89217241919416	0.911499848861108	0.964213777946939	5.83088910254178	3.60656067113819	2.00755433613827	4.21342505295477
pts1554	1.08474462086847	-0.886299500835272	-3.30757280191029	-0.808437349299244	1.5165194976611	1.2147465226824	3.42774024601659	-0.338250400189295	1.71413559385633	5.21338616786816	0.138814468902282	4.39169899237382	3.26918279585539	-9.96578428466209	-3.62593428177746	0.0157829972409275	5.82759041045959	0.368489000645104	1.15120939288489	6.05443609547354	4.05667022618442	0.623866861852698	0.67897330785417
pts1619	1.27560307933685	-3.62593428177746	-4.29335894269059	0.379620962055708	2.72922645499115	-0.758769964484555	7.42928956355413	-0.394031641158542	5.7082148313008	0.252173413202027	3.03579983742326	5.62413014605584	3.9892298543215	-9.96578428466209	-2.72737954533701	-0.375197234747053	7.9522228902666	-1.0862010350493	1.76595900604575	6.45846403279201	4.24420207293948	-2.2446850959549	1.07792657868507
pts1809	1.89180800103544	-2.2446850959549	-4.29335894269059	-0.619270551496451	1.89569039046369	0.52707033551266	5.19381116075549	0.12565110166152	4.21730827838519	6.94802842130835	0.476122419880152	5.26307197552796	2.95438245257678	-9.96578428466209	-9.96578428466209	2.11470017240548	7.14640065912437	0.252173413202027	1.02927618237063	5.2600633040882	3.80745796802321	0.832687516439532	0.177598929327733
pts1873	1.40653667020517	-1.46992925777492	-2.93236128312464	-0.232768962976124	1.25761413004954	0.215367972203479	5.18471668730744	0.16478627814334	3.52869633035568	1.25156762060825	1.22094900446678	5.43366054696333	3.76457970566259	-9.96578428466209	-3.8160371651574	0.546956178141411	6.69238534950625	-0.997117491466879	1.83632813392398	5.31437025119251	4.82329080384707	0.808179083771471	-4.608232280044
pts1079	0.0299828662157143	-5.57346686188333	-1.63935479753978	-3.17136841831198	1.54151483946068	-1.73216460790239	2.90900499815204	-1.63935479753978	1.60454581636871	2.52381283772722	-1.31832585820717	3.15234569283519	0.705756782049797	-9.96578428466209	-9.96578428466209	1.68750866072073	4.43502845744535	-1.18114943910457	0.986228880227399	3.23893967935749	1.83632813392398	-0.0573916638883367	2.36765063062196
